name,artists,daily_rank,daily_movement,weekly_movement,snapshot_date,popularity,duration_ms,album_name,album_release_date
greedy,Tate McRae,1,0,11,12/31/2023,96,131872,greedy,9/15/2023
Lovin On Me,Jack Harlow,2,0,13,12/31/2023,95,138411,Lovin On Me,11/10/2023
Cruel Summer,Taylor Swift,3,0,15,12/31/2023,96,178426,Lover,8/23/2019
La Diabla,Xavi,4,0,15,12/31/2023,90,172264,La Diabla,11/30/2023
My Love Mine All Mine,Mitski,5,0,12,12/31/2023,96,137773,The Land Is Inhospitable and So Are We,9/15/2023
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",6,0,17,12/31/2023,93,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",7,0,15,12/31/2023,88,183550,GOLDEN,11/3/2023
BELLAKEO,"Peso Pluma, Anitta",8,0,23,12/31/2023,89,197333,BELLAKEO,12/7/2023
Paint The Town Red,Doja Cat,9,0,21,12/31/2023,85,230480,Scarlet,9/20/2023
La Víctima,Xavi,10,1,37,12/31/2023,90,156345,La Víctima,8/17/2023
Stick Season,Noah Kahan,11,-1,30,12/31/2023,91,182346,Stick Season,10/14/2022
PERRO NEGRO,"Bad Bunny, Feid",12,3,22,12/31/2023,94,162767,nadie sabe lo que va a pasar mañana,10/13/2023
QLONA,"KAROL G, Peso Pluma",13,0,20,12/31/2023,91,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
Strangers,Kenya Grace,14,-2,24,12/31/2023,93,172964,Strangers,9/1/2023
LUNA,"Feid, ATL Jacob",15,1,25,12/31/2023,89,196800,FERXXOCALIPSIS,12/1/2023
I Wanna Be Yours,Arctic Monkeys,16,-2,28,12/31/2023,93,183956,AM,9/9/2013
Water,Tyla,17,2,28,12/31/2023,92,200255,Water,7/28/2023
Standing Next to You,Jung Kook,18,-1,30,12/31/2023,94,206019,GOLDEN,11/3/2023
Si No Estás,iñigo quintero,19,-1,16,12/31/2023,94,184061,Si No Estás,9/23/2022
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",20,0,23,12/31/2023,92,191466,Que Onda,8/30/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",21,0,25,12/31/2023,92,143327,Pa las Baby's Y Belikeada,10/20/2023
Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",22,28,28,12/31/2023,0,165634,Rompe La Dompe,12/28/2023
vampire,Olivia Rodrigo,23,-1,27,12/31/2023,92,219724,GUTS,9/8/2023
Agora Hills,Doja Cat,24,-1,26,12/31/2023,82,265360,Scarlet,9/20/2023
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",25,0,25,12/31/2023,90,215466,Popular (Music from the HBO Original Series),6/2/2023
Starboy,"The Weeknd, Daft Punk",26,-2,24,12/31/2023,91,230453,Starboy,11/25/2016
Daylight,David Kushner,27,-1,23,12/31/2023,92,212953,Daylight,4/14/2023
Según Quién,"Maluma, Carin Leon",28,0,22,12/31/2023,88,142334,Don Juan,8/25/2023
Kill Bill,SZA,29,-2,21,12/31/2023,89,153946,SOS,12/8/2022
As It Was,Harry Styles,30,-1,20,12/31/2023,91,167303,Harry's House,5/20/2022
MONACO,Bad Bunny,31,0,19,12/31/2023,92,267194,nadie sabe lo que va a pasar mañana,10/13/2023
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",32,-2,18,12/31/2023,90,229938,The Forever Story (Extended Version),10/31/2022
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,33,-1,17,12/31/2023,91,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
Flowers,Miley Cyrus,34,0,16,12/31/2023,91,200600,Endless Summer Vacation,8/18/2023
Love Me Again,V,35,10,15,12/31/2023,88,182293,Layover,8/11/2023
Houdini,Dua Lipa,36,2,14,12/31/2023,90,185917,Houdini,11/9/2023
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",37,3,13,12/31/2023,90,227195,Zach Bryan,8/25/2023
LALA,Myke Towers,38,1,12,12/31/2023,91,197920,LA VIDA ES UNA,3/23/2023
Prada,"cassö, RAYE, D-Block Europe",39,7,11,12/31/2023,90,132359,Prada,8/11/2023
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",40,1,10,12/31/2023,90,212878,GÉNESIS,6/29/2023
The Night We Met,Lord Huron,41,-6,9,12/31/2023,80,208211,Strange Trails,4/7/2015
Snooze,SZA,42,1,8,12/31/2023,90,201800,SOS,12/9/2022
Die For You,The Weeknd,43,-7,7,12/31/2023,88,260253,Starboy,11/24/2016
EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",44,6,6,12/31/2023,88,165848,El Comienzo,8/25/2023
Dance The Night - From Barbie The Album,Dua Lipa,45,3,5,12/31/2023,89,176579,Dance The Night (From Barbie The Album),5/25/2023
Blinding Lights,The Weeknd,46,-4,4,12/31/2023,90,200040,After Hours,3/20/2020
fukumean,Gunna,47,-3,3,12/31/2023,90,125040,a Gift & a Curse,6/16/2023
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",48,-11,2,12/31/2023,84,201812,3D : The Remixes,10/2/2023
Sweater Weather,The Neighbourhood,49,-2,1,12/31/2023,90,240400,I Love You.,4/19/2013
Columbia,Quevedo,50,0,0,12/31/2023,90,186000,Columbia,7/7/2023
greedy,Tate McRae,1,0,6,12/30/2023,96,131872,greedy,9/15/2023
Lovin On Me,Jack Harlow,2,1,12,12/30/2023,94,138411,Lovin On Me,11/10/2023
Cruel Summer,Taylor Swift,3,-1,13,12/30/2023,95,178426,Lover,8/23/2019
La Diabla,Xavi,4,1,14,12/30/2023,90,172264,La Diabla,11/30/2023
My Love Mine All Mine,Mitski,5,-1,7,12/30/2023,95,137773,The Land Is Inhospitable and So Are We,9/15/2023
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",6,0,13,12/30/2023,92,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",7,0,14,12/30/2023,87,183550,GOLDEN,11/3/2023
BELLAKEO,"Peso Pluma, Anitta",8,1,18,12/30/2023,88,197333,BELLAKEO,12/7/2023
Paint The Town Red,Doja Cat,9,-1,13,12/30/2023,85,230480,Scarlet,9/20/2023
Stick Season,Noah Kahan,10,2,25,12/30/2023,91,182346,Stick Season,10/14/2022
La Víctima,Xavi,11,4,27,12/30/2023,89,156345,La Víctima,8/17/2023
Strangers,Kenya Grace,12,-2,17,12/30/2023,93,172964,Strangers,9/1/2023
QLONA,"KAROL G, Peso Pluma",13,0,10,12/30/2023,90,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
I Wanna Be Yours,Arctic Monkeys,14,-3,14,12/30/2023,92,183956,AM,9/9/2013
PERRO NEGRO,"Bad Bunny, Feid",15,-1,10,12/30/2023,93,162767,nadie sabe lo que va a pasar mañana,10/13/2023
LUNA,"Feid, ATL Jacob",16,0,15,12/30/2023,89,196800,FERXXOCALIPSIS,12/1/2023
Standing Next to You,Jung Kook,17,0,24,12/30/2023,94,206019,GOLDEN,11/3/2023
Si No Estás,iñigo quintero,18,0,9,12/30/2023,94,184061,Si No Estás,9/23/2022
Water,Tyla,19,0,13,12/30/2023,92,200255,Water,7/28/2023
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",20,0,14,12/30/2023,92,191466,Que Onda,8/30/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",21,2,16,12/30/2023,92,143327,Pa las Baby's Y Belikeada,10/20/2023
vampire,Olivia Rodrigo,22,3,22,12/30/2023,92,219724,GUTS,9/8/2023
Agora Hills,Doja Cat,23,3,17,12/30/2023,82,265360,Scarlet,9/20/2023
Starboy,"The Weeknd, Daft Punk",24,0,23,12/30/2023,91,230453,Starboy,11/25/2016
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",25,2,25,12/30/2023,89,215466,Popular (Music from the HBO Original Series),6/2/2023
Daylight,David Kushner,26,2,24,12/30/2023,91,212953,Daylight,4/14/2023
Kill Bill,SZA,27,2,23,12/30/2023,89,153946,SOS,12/8/2022
Según Quién,"Maluma, Carin Leon",28,3,21,12/30/2023,88,142334,Don Juan,8/25/2023
As It Was,Harry Styles,29,1,21,12/30/2023,91,167303,Harry's House,5/20/2022
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",30,2,20,12/30/2023,90,229938,The Forever Story (Extended Version),10/31/2022
MONACO,Bad Bunny,31,2,19,12/30/2023,92,267194,nadie sabe lo que va a pasar mañana,10/13/2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,32,2,18,12/30/2023,91,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
Closer Than This,Jimin,33,17,17,12/30/2023,87,223302,Closer Than This,12/22/2023
Flowers,Miley Cyrus,34,4,16,12/30/2023,90,200600,Endless Summer Vacation,8/18/2023
The Night We Met,Lord Huron,35,0,15,12/30/2023,80,208211,Strange Trails,4/7/2015
Die For You,The Weeknd,36,1,14,12/30/2023,87,260253,Starboy,11/24/2016
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",37,2,13,12/30/2023,83,201812,3D : The Remixes,10/2/2023
Houdini,Dua Lipa,38,10,12,12/30/2023,90,185917,Houdini,11/9/2023
LALA,Myke Towers,39,1,11,12/30/2023,91,197920,LA VIDA ES UNA,3/23/2023
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",40,2,10,12/30/2023,89,227195,Zach Bryan,8/25/2023
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",41,2,9,12/30/2023,90,212878,GÉNESIS,6/29/2023
Blinding Lights,The Weeknd,42,7,8,12/30/2023,89,200040,After Hours,3/20/2020
Snooze,SZA,43,2,7,12/30/2023,90,201800,SOS,12/9/2022
fukumean,Gunna,44,0,6,12/30/2023,90,125040,a Gift & a Curse,6/16/2023
Love Me Again,V,45,-4,5,12/30/2023,88,182293,Layover,8/11/2023
Prada,"cassö, RAYE, D-Block Europe",46,4,4,12/30/2023,90,132359,Prada,8/11/2023
Sweater Weather,The Neighbourhood,47,-1,3,12/30/2023,90,240400,I Love You.,4/19/2013
Dance The Night - From Barbie The Album,Dua Lipa,48,2,2,12/30/2023,89,176579,Dance The Night (From Barbie The Album),5/25/2023
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",49,-2,1,12/30/2023,87,250158,ANIMAL,11/24/2023
Last Christmas - Single Version,Wham!,50,-29,-48,12/30/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
greedy,Tate McRae,1,2,5,12/29/2023,96,131872,greedy,9/15/2023
Cruel Summer,Taylor Swift,2,4,11,12/29/2023,95,178426,Lover,8/23/2019
Lovin On Me,Jack Harlow,3,4,9,12/29/2023,94,138411,Lovin On Me,11/10/2023
My Love Mine All Mine,Mitski,4,1,6,12/29/2023,95,137773,The Land Is Inhospitable and So Are We,9/15/2023
La Diabla,Xavi,5,3,12,12/29/2023,89,172264,La Diabla,11/30/2023
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",6,6,10,12/29/2023,92,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",7,6,13,12/29/2023,87,183550,GOLDEN,11/3/2023
Paint The Town Red,Doja Cat,8,9,13,12/29/2023,85,230480,Scarlet,9/20/2023
BELLAKEO,"Peso Pluma, Anitta",9,13,21,12/29/2023,87,197333,BELLAKEO,12/7/2023
Strangers,Kenya Grace,10,15,17,12/29/2023,93,172964,Strangers,9/1/2023
I Wanna Be Yours,Arctic Monkeys,11,8,15,12/29/2023,92,183956,AM,9/9/2013
Stick Season,Noah Kahan,12,15,22,12/29/2023,90,182346,Stick Season,10/14/2022
QLONA,"KAROL G, Peso Pluma",13,10,10,12/29/2023,90,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
PERRO NEGRO,"Bad Bunny, Feid",14,10,11,12/29/2023,93,162767,nadie sabe lo que va a pasar mañana,10/13/2023
La Víctima,Xavi,15,14,23,12/29/2023,89,156345,La Víctima,8/17/2023
LUNA,"Feid, ATL Jacob",16,10,13,12/29/2023,88,196800,FERXXOCALIPSIS,12/1/2023
Standing Next to You,Jung Kook,17,4,14,12/29/2023,94,206019,GOLDEN,11/3/2023
Si No Estás,iñigo quintero,18,10,6,12/29/2023,94,184061,Si No Estás,9/23/2022
Water,Tyla,19,13,9,12/29/2023,92,200255,Water,7/28/2023
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",20,11,12,12/29/2023,91,191466,Que Onda,8/30/2023
Last Christmas - Single Version,Wham!,21,-19,-19,12/29/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
All I Want for Christmas Is You,Mariah Carey,22,-21,-21,12/29/2023,100,241106,Merry Christmas,10/28/1994
HARLEY QUINN,"Fuerza Regida, Marshmello",23,10,10,12/29/2023,92,143327,Pa las Baby's Y Belikeada,10/20/2023
Starboy,"The Weeknd, Daft Punk",24,10,16,12/29/2023,91,230453,Starboy,11/25/2016
vampire,Olivia Rodrigo,25,12,12,12/29/2023,91,219724,GUTS,9/8/2023
Agora Hills,Doja Cat,26,10,10,12/29/2023,82,265360,Scarlet,9/20/2023
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",27,12,23,12/29/2023,89,215466,Popular (Music from the HBO Original Series),6/2/2023
Daylight,David Kushner,28,12,18,12/29/2023,91,212953,Daylight,4/14/2023
Kill Bill,SZA,29,12,16,12/29/2023,88,153946,SOS,12/8/2022
As It Was,Harry Styles,30,15,20,12/29/2023,91,167303,Harry's House,5/20/2022
Según Quién,"Maluma, Carin Leon",31,11,12,12/29/2023,87,142334,Don Juan,8/25/2023
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",32,12,12,12/29/2023,89,229938,The Forever Story (Extended Version),10/31/2022
MONACO,Bad Bunny,33,13,17,12/29/2023,92,267194,nadie sabe lo que va a pasar mañana,10/13/2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,34,13,16,12/29/2023,90,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
The Night We Met,Lord Huron,35,14,15,12/29/2023,79,208211,Strange Trails,4/7/2015
Snowman,Sia,36,-26,-25,12/29/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Die For You,The Weeknd,37,13,13,12/29/2023,87,260253,Starboy,11/24/2016
Flowers,Miley Cyrus,38,12,12,12/29/2023,90,200600,Endless Summer Vacation,8/18/2023
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",39,9,11,12/29/2023,83,201812,3D : The Remixes,10/2/2023
LALA,Myke Towers,40,10,10,12/29/2023,91,197920,LA VIDA ES UNA,3/23/2023
Love Me Again,V,41,9,9,12/29/2023,88,182293,Layover,8/11/2023
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",42,8,8,12/29/2023,89,227195,Zach Bryan,8/25/2023
LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",43,7,7,12/29/2023,90,212878,GÉNESIS,6/29/2023
fukumean,Gunna,44,6,6,12/29/2023,90,125040,a Gift & a Curse,6/16/2023
Snooze,SZA,45,5,5,12/29/2023,90,201800,SOS,12/9/2022
Sweater Weather,The Neighbourhood,46,4,4,12/29/2023,89,240400,I Love You.,4/19/2013
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",47,3,3,12/29/2023,86,250158,ANIMAL,11/24/2023
Houdini,Dua Lipa,48,2,2,12/29/2023,90,185917,Houdini,11/9/2023
Blinding Lights,The Weeknd,49,1,1,12/29/2023,89,200040,After Hours,3/20/2020
Dance The Night - From Barbie The Album,Dua Lipa,50,0,0,12/29/2023,89,176579,Dance The Night (From Barbie The Album),5/25/2023
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/28/2023,100,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/28/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
greedy,Tate McRae,3,47,1,12/28/2023,98,131872,greedy,9/15/2023
Rockin' Around The Christmas Tree,Brenda Lee,4,-1,-1,12/28/2023,98,126266,Merry Christmas From Brenda Lee,10/19/1964
My Love Mine All Mine,Mitski,5,45,2,12/28/2023,97,137773,The Land Is Inhospitable and So Are We,9/15/2023
Cruel Summer,Taylor Swift,6,44,6,12/28/2023,97,178426,Lover,8/23/2019
Lovin On Me,Jack Harlow,7,43,2,12/28/2023,96,138411,Lovin On Me,11/10/2023
La Diabla,Xavi,8,42,9,12/28/2023,90,172264,La Diabla,11/30/2023
Santa Tell Me,Ariana Grande,9,-2,-3,12/28/2023,96,204093,Santa Tell Me,11/24/2014
Snowman,Sia,10,2,0,12/28/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Jingle Bell Rock,Bobby Helms,11,-7,-6,12/28/2023,94,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",12,38,2,12/28/2023,93,244684,The Idol Episode 4 (Music from the HBO Original Series),6/23/2023
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",13,37,6,12/28/2023,89,183550,GOLDEN,11/3/2023
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,14,-8,-1,12/28/2023,95,117146,A Winter Romance,1/1/1959
It's Beginning to Look a Lot like Christmas,Michael Bublé,15,-7,-7,12/28/2023,87,207199,Christmas (Deluxe Special Edition),10/14/2011
It's the Most Wonderful Time of the Year,Andy Williams,16,-11,-5,12/28/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Paint The Town Red,Doja Cat,17,33,3,12/28/2023,86,230480,Scarlet,9/20/2023
Feliz Navidad,José Feliciano,18,-9,0,12/28/2023,88,182066,Feliz Navidad,9/24/2002
I Wanna Be Yours,Arctic Monkeys,19,31,6,12/28/2023,94,183956,AM,9/9/2013
Underneath the Tree,Kelly Clarkson,20,-10,-5,12/28/2023,86,229640,Wrapped In Red,10/29/2013
Standing Next to You,Jung Kook,21,29,8,12/28/2023,95,206019,GOLDEN,11/3/2023
BELLAKEO,"Peso Pluma, Anitta",22,28,14,12/28/2023,88,197333,BELLAKEO,12/7/2023
QLONA,"KAROL G, Peso Pluma",23,27,-1,12/28/2023,92,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),8/10/2023
PERRO NEGRO,"Bad Bunny, Feid",24,26,0,12/28/2023,95,162767,nadie sabe lo que va a pasar mañana,10/13/2023
Strangers,Kenya Grace,25,25,2,12/28/2023,95,172964,Strangers,9/1/2023
LUNA,"Feid, ATL Jacob",26,24,4,12/28/2023,89,196800,FERXXOCALIPSIS,12/1/2023
Stick Season,Noah Kahan,27,23,5,12/28/2023,92,182346,Stick Season,10/14/2022
Si No Estás,iñigo quintero,28,22,-5,12/28/2023,96,184061,Si No Estás,9/23/2022
La Víctima,Xavi,29,21,9,12/28/2023,90,156345,La Víctima,8/17/2023
Sleigh Ride,The Ronettes,30,-19,-9,12/28/2023,84,181266,Sleigh Ride,12/4/2020
Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",31,19,3,12/28/2023,93,191466,Que Onda,8/30/2023
Water,Tyla,32,18,-4,12/28/2023,93,200255,Water,7/28/2023
HARLEY QUINN,"Fuerza Regida, Marshmello",33,17,-2,12/28/2023,93,143327,Pa las Baby's Y Belikeada,10/20/2023
Starboy,"The Weeknd, Daft Punk",34,16,6,12/28/2023,92,230453,Starboy,11/25/2016
Holly Jolly Christmas,Michael Bublé,35,-22,-19,12/28/2023,83,119786,Christmas,10/14/2011
Agora Hills,Doja Cat,36,14,-3,12/28/2023,83,265360,Scarlet,9/20/2023
vampire,Olivia Rodrigo,37,13,-2,12/28/2023,93,219724,GUTS,9/8/2023
Mistletoe,Justin Bieber,38,-21,-12,12/28/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",39,11,11,12/28/2023,90,215466,Popular (Music from the HBO Original Series),6/2/2023
Daylight,David Kushner,40,10,4,12/28/2023,93,212953,Daylight,4/14/2023
Kill Bill,SZA,41,9,1,12/28/2023,90,153946,SOS,12/8/2022
Según Quién,"Maluma, Carin Leon",42,8,-1,12/28/2023,89,142334,Don Juan,8/25/2023
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",43,-28,-4,12/28/2023,92,214333,Signature Box,10/5/2010
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",44,6,-1,12/28/2023,91,229938,The Forever Story (Extended Version),10/31/2022
As It Was,Harry Styles,45,5,5,12/28/2023,93,167303,Harry's House,5/20/2022
MONACO,Bad Bunny,46,4,2,12/28/2023,94,267194,nadie sabe lo que va a pasar mañana,10/13/2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,47,3,0,12/28/2023,92,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",7/13/2023
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",48,2,2,12/28/2023,85,201812,3D : The Remixes,10/2/2023
The Night We Met,Lord Huron,49,1,1,12/28/2023,81,208211,Strange Trails,4/7/2015
Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",50,0,0,12/28/2023,87,250158,ANIMAL,11/24/2023
All I Want for Christmas Is You,Mariah Carey,1,0,0,12/27/2023,100,241106,Merry Christmas,10/28/1994
Last Christmas - Single Version,Wham!,2,0,0,12/27/2023,89,265960,The Singles: Echoes from the Edge of Heaven,7/7/2023
Rockin' Around The Christmas Tree,Brenda Lee,3,0,0,12/27/2023,98,126266,Merry Christmas From Brenda Lee,10/19/1964
Jingle Bell Rock,Bobby Helms,4,0,1,12/27/2023,94,130973,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),12/2/1957
It's the Most Wonderful Time of the Year,Andy Williams,5,3,5,12/27/2023,79,151000,The Andy Williams Christmas Album,1/1/1963
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,6,0,7,12/27/2023,95,117146,A Winter Romance,1/1/1959
Santa Tell Me,Ariana Grande,7,-2,0,12/27/2023,96,204093,Santa Tell Me,11/24/2014
It's Beginning to Look a Lot like Christmas,Michael Bublé,8,-1,0,12/27/2023,87,207199,Christmas (Deluxe Special Edition),10/14/2011
Feliz Navidad,José Feliciano,9,0,10,12/27/2023,88,182066,Feliz Navidad,9/24/2002
Underneath the Tree,Kelly Clarkson,10,0,5,12/27/2023,86,229640,Wrapped In Red,10/29/2013
Sleigh Ride,The Ronettes,11,1,11,12/27/2023,84,181266,Sleigh Ride,12/4/2020
Snowman,Sia,12,-1,0,12/27/2023,94,165900,Everyday Is Christmas (Deluxe Edition),11/1/2018
Holly Jolly Christmas,Michael Bublé,13,0,3,12/27/2023,83,119786,Christmas,10/14/2011
A Holly Jolly Christmas,Burl Ives,14,7,25,12/27/2023,91,135533,Have A Holly Jolly Christmas,10/1/1965
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",15,-1,27,12/27/2023,92,214333,Signature Box,10/5/2010
The Christmas Song (Merry Christmas To You),Nat King Cole,16,6,34,12/27/2023,75,190973,The Nat King Cole Story,9/25/1961
Mistletoe,Justin Bieber,17,-2,10,12/27/2023,92,182946,Under The Mistletoe (Deluxe Edition),1/1/2011
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",18,1,27,12/27/2023,91,155453,Christmas Songs by Sinatra,11/8/1994
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,19,-1,31,12/27/2023,91,227653,McCartney II (Special Edition),5/16/1980
